X,Y,FID,COD_REG,REGION,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,CUT,DIR_GEOCOD,LAT,LNG,ANO,Tipo_Accid,Zona,Fallecidos,Graves,Menos_Grav,Leves,Accidentes
-70.9013470003636,-33.7512889999872,21,13,REGION METROPOLITANA,ISLA DE MAIPO,MANUEL RODRIGUEZ,CORTES,0,13603,"Cortez & Manuel Rodríguez, Isla de Maipo, Región Metropolitana, Chile",-33.751289,-70.901347,2020,ATROPELLO,URBANA,0,0,0,1,1
-70.9008479000104,-33.6113906999207,22,13,REGION METROPOLITANA,PEÑAFLOR,VICUÑA MACKENNA,BASTERRICA,0,13605,"Vicuña Mackenna & Basterrica, Penaflor, Peñaflor, Región Metropolitana, Chile",-33.6113907,-70.9008479,2020,ATROPELLO,URBANA,0,1,1,0,2
-70.8955502996065,-33.6116375997952,23,13,REGION METROPOLITANA,PEÑAFLOR,VICUÑA MACKENNA,COSTARRICA,0,13605,"Vicuña Mackenna & Costa Rica, Penaflor, Peñaflor, Región Metropolitana, Chile",-33.6116376,-70.8955503,2020,ATROPELLO,URBANA,0,0,0,2,1
-70.8945895997301,-33.5962233997899,24,13,REGION METROPOLITANA,PEÑAFLOR,EL PARQUE,EL PORVENIR,0,13605,"Parque Municipal El Trapiche de Peñaflor - Cam. el Guanaco, Penaflor, Peñaflor, Región Metropolitana, Chile",-33.5962234,-70.8945896,2020,ATROPELLO,URBANA,0,1,0,0,1
-70.891451199613,-33.60050900029,25,13,REGION METROPOLITANA,PEÑAFLOR,CAUPOLICAN,MANUEL OJEDA,0,13605,"Manuel Ojeda & Avenida Caupolicán, Penaflor, Peñaflor, Región Metropolitana, Chile",-33.600509,-70.8914512,2020,ATROPELLO,URBANA,0,0,0,1,1
-70.8835139999709,-33.6109888000929,26,13,REGION METROPOLITANA,PEÑAFLOR,VICUÑA MACKENNA,SANTA ROSA,0,13605,"Santa Rosa & Vicuña Mackenna, Penaflor, Peñaflor, Región Metropolitana, Chile",-33.6109888,-70.883514,2020,ATROPELLO,URBANA,0,2,0,0,1
-70.8806936999541,-33.6128967001225,27,13,REGION METROPOLITANA,PEÑAFLOR,TOMAS ANIC,HERACLIO MENA,0,13605,"Heraclio Mena López & Tomás Anic, Penaflor, Peñaflor, Región Metropolitana, Chile",-33.6128967,-70.8806937,2020,ATROPELLO,URBANA,0,0,0,1,1
-70.8758244997007,-33.2850214000175,28,13,REGION METROPOLITANA,LAMPA,ISMAEL CARMONA,SGTO ALDEA,0,13302,"Ismael Carmona & Sargento Aldea, Lampa, Región Metropolitana, Chile",-33.2850214,-70.8758245,2020,ATROPELLO,URBANA,0,0,0,1,1
-70.8743350002599,-33.2767041666638,29,13,REGION METROPOLITANA,LAMPA,CAMINO CHICAUMA, ,150,13302,"Chicauma 150, Lampa, Región Metropolitana, Chile",-33.2767034,-70.8743354,2020,ATROPELLO,URBANA,1,0,0,1,1
-70.8698092996593,-33.6076380997184,30,13,REGION METROPOLITANA,PEÑAFLOR,OSORNO,UNION,0,13605,"Osorno & La Unión, Penaflor, Peñaflor, Región Metropolitana, Chile",-33.6076381,-70.8698093,2020,ATROPELLO,URBANA,0,0,0,1,1
-70.8666995996067,-33.610206700179,31,13,REGION METROPOLITANA,PEÑAFLOR,VICUÑA MACKENNA,21 DE MAYO,0,13605,"Vicuña Mackenna & 21 de Mayo, Penaflor, Peñaflor, Región Metropolitana, Chile",-33.6102067,-70.8666996,2020,ATROPELLO,URBANA,0,0,0,1,1
-70.865307799815,-33.733970800312,32,13,REGION METROPOLITANA,ISLA DE MAIPO,EL MAITEN,BRISAS DEL MAIPO,0,13603,"El Maitén & Brisas del Maipo, La Islita, Isla de Maipo, Región Metropolitana, Chile",-33.7339708,-70.8653078,2020,ATROPELLO,RURAL,0,0,1,1,1
-70.8614580998113,-33.7392682001672,33,13,REGION METROPOLITANA,ISLA DE MAIPO,BALMACEDA,EL OCASO,0,13603,"Balmaceda & El Ocaso, La Islita, Isla de Maipo, Región Metropolitana, Chile",-33.7392682,-70.8614581,2020,ATROPELLO,URBANA,0,1,0,0,1
-70.8612819999641,-33.6064089998753,34,13,REGION METROPOLITANA,PEÑAFLOR,ROSALES,ISABEL LA CATOLICA,0,13605,"Isabel La Católica & Avenida Rosales, Penaflor, Peñaflor, Región Metropolitana, Chile",-33.606409,-70.861282,2020,ATROPELLO,URBANA,0,0,1,0,1
-70.8567866002213,-33.7081334002361,35,13,REGION METROPOLITANA,TALAGANTE,CAMINO A LONQUEN,CAMINO CARAMPANGUE,0,13601,"Lonquén Sur & Carampangue, Talagante, Región Metropolitana, Chile",-33.7081334,-70.8567866,2020,ATROPELLO,URBANA,1,0,0,0,1
-70.8075592996218,-33.5763044003277,36,13,REGION METROPOLITANA,PADRE HURTADO,LOS SILOS,NVA TRANSVERSAL,0,13604,"Nueva Transversal & Los Silos, Padre Hurtado, Región Metropolitana, Chile",-33.5763044,-70.8075593,2020,ATROPELLO,URBANA,0,0,0,0,1
-70.804257300234,-33.500540799618,37,13,REGION METROPOLITANA,MAIPU,EL ROSAL, ,4290,13119,"El Rosal 4290, Maipú, Región Metropolitana, Chile",-33.5005408,-70.8042573,2020,ATROPELLO,URBANA,0,0,0,2,1
-70.8004465004055,-33.5661013003346,38,13,REGION METROPOLITANA,PADRE HURTADO,SIN NOMBRE,PRIMERA TRANSVERSAL,0,13604,"Av. Primera Transversal 953, Padre Hurtado, Región Metropolitana, Chile",-33.5661013,-70.8004465,2020,ATROPELLO,URBANA,0,0,0,2,1
-70.7998457002187,-33.5701975000144,39,13,REGION METROPOLITANA,PADRE HURTADO,ESTALISNAO LOAYZA,LUIS PASTEUR,0,13604,"Estanislao Loayza & Luis Pasteur, Padre Hurtado, Región Metropolitana, Chile",-33.5701975,-70.7998457,2020,ATROPELLO,URBANA,0,0,0,1,1
-70.798855943247,-33.6233569072953,40,13,REGION METROPOLITANA,CALERA DE TANGO,CAMINO A LONQUEN,CALERA DE TANGO,0,13403, ,-33.623394,-70.798831,2020,ATROPELLO,URBANA,0,0,0,1,1
-70.7976043000982,-33.5183462996419,41,13,REGION METROPOLITANA,MAIPU,APOLO XII, ,1461,13119,"Apolo XII 1461, Maipú, Región Metropolitana, Chile",-33.5183463,-70.7976043,2020,ATROPELLO,URBANA,0,0,0,1,1
-70.7959692004181,-33.5067437996865,42,13,REGION METROPOLITANA,MAIPU,CAMINO A RINCONADA,LA GALAXIA,0,13119,"Camino A Rinconada & La Galaxia, Maipú, Región Metropolitana, Chile",-33.5067438,-70.7959692,2020,ATROPELLO,URBANA,0,0,0,1,1
