X,Y,FID,Ubicacion,Fallecidos,Graves,MenosGrave,Leve,Accidentes
-70.6031502727332,-33.4128353384505,1236,"2885 VITACURA, LAS CONDES",0,0,0,1,1
-70.6042649398359,-33.4739832779128,1237,"RODRIGO DE ARAYA & LOS 3 ANTONIOS, MACUL",0,0,0,1,1
-70.604450164797,-33.4904482648308,1238,"ESCUELA AGRICOLA & VIA LACTEA, MACUL",0,0,0,2,2
-70.6031267910968,-33.4349576881424,1239,"POCURO & SUECIA, PROVIDENCIA",0,1,0,0,1
-70.6033858599846,-33.4542986678373,1240,"IRARRAZAVAL & VILLASECA, NUNOA",0,0,0,1,1
-70.60315909274,-33.4431459262342,1241,"DIEGO DE ALMAGRO & RICARDO LYON, PROVIDENCIA",0,0,0,2,2
-70.6030636334306,-33.4397111729288,1242,"BUSTOS & RICARDO LYON, PROVIDENCIA",0,0,0,1,1
-70.6043165375935,-33.5088743002421,1243,"DEPARTAMENTAL & EXEQUIEL FERNANDEZ, LA FLORIDA",0,0,0,1,1
-70.6027178643183,-33.4361173231838,1244,"SUECIA & CALIFORNIA, PROVIDENCIA",0,1,0,0,1
-70.6022744062317,-33.4166704480553,1245,"ENCOMENDEROS & SAN SEBASTIAN, LAS CONDES",0,0,1,1,1
-70.6022378181653,-33.4152640540803,1246,"EBRO & HELVECIA, LAS CONDES",0,1,0,0,1
-70.6052353246281,-33.5824508791464,1247,"GABRIELA & CLEOPATRA, PUENTE ALTO",0,0,0,1,1
-70.6020754834642,-33.4116948727506,1248,"PRESIDENTE RIESCO & LUZ, LAS CONDES",0,0,0,2,2
-70.6019372248637,-33.4205617222707,1249,"LUIS THAYER OJEDA & SAN PIO X, PROVIDENCIA",0,0,0,1,1
-70.6036070575067,-33.5188486454444,1250,"VICUNA MACKENNA PONIENTE & POZO ALMONTE, LA FLORIDA",1,0,0,0,1
-70.6022810816424,-33.4492175979488,1251,"3020 RICARDO LYON, NUNOA",0,0,0,2,1
-70.6020885198881,-33.4545409001578,1252,"2785 IRARRAZAVAL, NUNOA",0,0,0,1,1
-70.6036057673657,-33.54676906065,1253,"1301 TRINIDAD, LA FLORIDA",0,0,0,1,1
-70.6035850652261,-33.5468144198192,1254,"SANTA RAQUEL & TRINIDAD, LA FLORIDA",0,0,0,0,1
-70.6011328405595,-33.4224389123918,1255,"LUIS THAYER OJEDA & LOTA, PROVIDENCIA",0,0,0,1,1
-70.601388360811,-33.4427900405284,1256,"SUECIA & DIEGO DE ALMAGRO, PROVIDENCIA",0,1,0,0,2
-70.6006724175642,-33.412001575385,1257,"PRESIDENTE RIESCO & BENJAMIN, LAS CONDES",0,0,0,1,1
-70.600812735233,-33.4202335438068,1258,"SAN PIO X & HERNANDO DE AGUIRRE, PROVIDENCIA",0,0,0,1,1
-70.6008725190437,-33.4369618323985,1259,"LOS LEONES & FRANCISCO BILBAO, PROVIDENCIA",0,0,0,2,2
-70.6018727462562,-33.4930969163307,1260,"EXEQUIEL FERNANDEZ & VICTOR DOMINGO SILVA, MACUL",0,0,0,1,1
-70.6017668028409,-33.4902665477839,1261,"EXEQUIEL FERNANDEZ & ESCUELA AGRICOLA, MACUL",0,0,0,2,1
-70.6016231590562,-33.4848033266304,1262,"QUILIN & EXEQUIEL FERNANDEZ, MACUL",0,1,0,1,2
-70.6005017853746,-33.4243860074412,1263,"LUIS THAYER OJEDA & CARMEN SILVA, PROVIDENCIA",0,0,0,1,1
-70.6008862816915,-33.4464940439705,1264,"HERNAN CORTES & SUECIA, NUNOA",0,0,0,1,1
-70.6014373407356,-33.4793857370916,1265,"LOS OLMOS & EXEQUIEL FERNANDEZ, MACUL",0,0,0,1,1
-70.6012487398419,-33.4738148673708,1266,"RODRIGO DE ARAYA & EXEQUIEL FERNANDEZ, MACUL",0,0,0,1,1
-70.6011945013276,-33.4708665834363,1267,"EXEQUIEL FERNANDEZ & LOS ALERCES, NUNOA",0,1,0,0,1
-70.6001261006842,-33.4173925980004,1268,"42 EL BOSQUE NORTE, LAS CONDES",0,0,0,1,1
-70.6000665583057,-33.4141467493899,1269,"ISIDORA GOYENECHEA & SAN SEBASTIAN, LAS CONDES",0,0,1,0,1
-70.6006690621919,-33.4481381860438,1270,"SUECIA & SUCRE, NUNOA",0,0,0,1,1
-70.6032516582806,-33.5911250004455,1271,"CANAL JARDIN ALTO & CANELA, PUENTE ALTO",0,0,0,1,1
-70.6000235461826,-33.4194230557827,1272,"TOBALABA & JOSE ANTONIO SOFFIA, PROVIDENCIA",0,0,0,1,1
-70.599959533903,-33.417692353327,1273,"APOQUINDO & EL BOSQUE NORTE, LAS CONDES",0,0,0,2,1
-70.6002370690284,-33.4392606960871,1274,"LOS LEONES & BUSTOS, PROVIDENCIA",0,0,1,0,1
-70.6028588263725,-33.5821209635323,1275,"GABRIELA & CRETA, PUENTE ALTO",0,1,0,1,2
-70.6001184178715,-33.4368994197413,1276,"2435 FRANCISCO BILBAO, PROVIDENCIA",0,1,0,0,1
-70.5999026307627,-33.4263146508946,1277,"CARLOS ANTUNEZ & LUIS THAYER OJEDA, PROVIDENCIA",0,1,0,0,1
-70.6014592482695,-33.5115536247543,1278,"FROILAN ROA & MIRADOR AZUL, LA FLORIDA",0,0,0,1,1
-70.6018424834262,-33.5539343014521,1279,"SAN JOSE DE LA ESTRELLA & SANTA RAQUEL, LA FLORIDA",0,0,0,1,1
-70.5991129601294,-33.4067098584439,1280,"NUEVA COSTANERA & VITACURA, VITACURA",0,0,0,1,1
-70.5999979395433,-33.4590409914167,1281,"ALCALDE EDUARDO CASTILLO VELASCO & EXEQUIEL FERNANDEZ, NUNOA",0,0,0,1,1
