X,Y,FID,ICOUNT,Comuna,Año,Clase_Acci,Cód_Comun,Cód_Regi,Región,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Número,Intersecci,Direcci_1,Fallecidos,Graves,Menos_Grav,Leves
-70.6519867003258,-33.1837719999776,469,1,COLINA,2016,1,13301,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,133010294,GRAL SAN MARTIN, , ,104,- GRAL SAN MARTIN,104 GRAL SAN MARTIN,0,0,0,1
-70.6517509439507,-33.4923131684178,470,1,SAN MIGUEL,2016,1,13130,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131300112,GRAN AVDA JOSE MIGUEL CARRERA,131300248,SALESIANOS, ,GRAN AVDA JOSE MIGUEL CARRERA - SALESIANOS,GRAN AVDA JOSE MIGUEL CARRERA @ SALESIANOS,0,0,0,1
-70.6517245614392,-33.4925041025821,471,1,SAN MIGUEL,2016,1,13130,13,REGION METROPOLITANA,URBANA,26,OTROS NO CONSIDERADOS,131300112,GRAN AVDA JOSE MIGUEL CARRERA,131300039,BERLIN, ,BERLIN - GRAN AVDA JOSE MIGUEL CARRERA,GRAN AVDA JOSE MIGUEL CARRERA @ BERLIN,0,0,0,1
-70.6517075993261,-33.4311515836785,472,2,INDEPENDENCIA,2016,1,13108,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131080190,LA PAZ,131080052,ARTESANOS, ,ARTESANOS - LA PAZ,LA PAZ @ ARTESANOS,0,0,0,2
-70.6516839075861,-33.4598817007797,473,2,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010385,MANUEL ANTONIO MATTA,131010429,NATANIEL COX, ,MANUEL ANTONIO MATTA - NATANIEL COX,MANUEL ANTONIO MATTA @ NATANIEL COX,0,0,2,1
-70.6516601115248,-33.4303886842902,474,1,INDEPENDENCIA,2016,1,13108,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131080190,LA PAZ,131080043,ANTONIA LOPEZ DE BELLO, ,ANTONIA LOPEZ DE BELLO - LA PAZ,LA PAZ @ ANTONIA LOPEZ DE BELLO,0,1,0,1
-70.6515950275883,-33.4350497292614,475,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010560,ROSAS,131010517,PUENTE, ,PUENTE - ROSAS,ROSAS @ PUENTE,0,0,0,1
-70.651497712849,-33.4286448089106,476,1,INDEPENDENCIA,2016,1,13108,13,REGION METROPOLITANA,URBANA,26,OTROS NO CONSIDERADOS,131080190,LA PAZ,131080203,LASTRA, ,LA PAZ - LASTRA,LA PAZ @ LASTRA,0,0,0,1
-70.6514789853667,-33.4911685931559,477,1,SAN MIGUEL,2016,1,13130,13,REGION METROPOLITANA,URBANA,16,CRUCE SIN SEÑALIZACIÓN,131300112,GRAN AVDA JOSE MIGUEL CARRERA,131300042,BRIGADIER DE LA CRUZ, ,BRIGADIER DE LA CRUZ - GRAN AVDA JOSE MIGUEL CARRERA,GRAN AVDA JOSE MIGUEL CARRERA @ BRIGADIER DE LA CRUZ,0,0,0,1
-70.6514642571696,-33.5312905835934,478,1,LA CISTERNA,2016,1,13109,13,REGION METROPOLITANA,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131090391,VICTORIA,131090388,URUGUAY, ,URUGUAY - VICTORIA,VICTORIA @ URUGUAY,0,1,0,0
-70.6514320812254,-33.4886982400316,479,1,SAN MIGUEL,2016,1,13130,13,REGION METROPOLITANA,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131300026,ARCANGEL,131300148,LLANO SUBERCASEAUX, ,ARCANGEL - LLANO SUBERCASEAUX,ARCANGEL @ LLANO SUBERCASEAUX,0,0,0,1
-70.6512647506676,-33.4625296214447,480,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,URBANA,26,OTROS NO CONSIDERADOS,131010429,NATANIEL COX,131010594,SANTIAGO, ,NATANIEL COX - SANTIAGO,NATANIEL COX @ SANTIAGO,0,0,0,0
-70.6511677021276,-33.4899552926025,481,2,SAN MIGUEL,2016,1,13130,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131300112,GRAN AVDA JOSE MIGUEL CARRERA,131300015,ALVAREZ DE TOLEDO, ,ALVAREZ DE TOLEDO - GRAN AVDA JOSE MIGUEL CARRERA,GRAN AVDA JOSE MIGUEL CARRERA @ ALVAREZ DE TOLEDO,0,1,0,1
-70.6511146861936,-33.5238210062343,482,1,LA CISTERNA,2016,1,13109,13,REGION METROPOLITANA,URBANA,14,CRUCE CON SEÑAL PARE,131090141,FERNANDO RIOJA,131090174,IQUIQUE, ,FERNANDO RIOJA - IQUIQUE,FERNANDO RIOJA @ IQUIQUE,0,0,0,1
-70.6509490571531,-33.5865939602429,483,1,LA PINTANA,2016,1,13112,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131120402,LO BLANCO,131120542,PEDRO PRADO, ,LO BLANCO - PEDRO PRADO,LO BLANCO @ PEDRO PRADO,0,0,0,0
-70.6508194000951,-33.4483405004136,484,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131010572,SAN DIEGO, , ,252,- SAN DIEGO,252 SAN DIEGO,0,0,0,2
