X,Y,FID,Ano,Cod_Comuna,Comuna,Cod_Region,Region,Cod_TipoAc,TipoAccide,Cod_Zona,Zona,CalleUno,CalleDos,Numero,PistasdeId,PistasdeRe,Fallecidos,Graves,Menos_Grav,Leves,lat,lng,Atropellos
-70.760872,-33.525433,587,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,NVA SAN MARTIN,LEOPOLDO INFANTE,0,1,1,0,0,0,1,-33.525433,-70.760872,1
-70.760376,-33.458595,588,2018,13124,PUDAHUEL,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,LAGUNA SUR,ISLA GRANDE TIERRA DEL FUEGO,0,2,2,0,1,0,0,-33.458595,-70.760376,1
-70.760292,-33.386475,589,2018,13124,PUDAHUEL,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,CAMINO LO BOZA, ,450,1,1,0,1,0,0,-33.386475,-70.760292,1
-70.760254,-33.49527,590,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,MANUEL RODRIGUEZ,ELENA REVUELTA,0,2,0,0,0,0,1,-33.49527,-70.760254,1
-70.759933,-33.50906,591,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,CHACABUCO,MANUEL RODRIGUEZ,0,2,0,0,0,0,1,-33.50906,-70.759933,1
-70.759224,-33.444412,592,2018,13124,PUDAHUEL,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,AURORA,RUFINA CASTILLO,0,1,1,0,1,0,0,-33.444412,-70.759224,1
-70.759224,-33.427536,593,2018,13124,PUDAHUEL,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,JOSE JOAQUIN PEREZ, ,8986,2,2,0,2,0,0,-33.427536,-70.759224,1
-70.758926,-33.384579,594,2018,13124,PUDAHUEL,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,AMERICO VESPUCIO, ,1234,1,1,0,0,0,2,-33.384579,-70.758926,1
-70.75885,-33.505505,595,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,LIBERTAD,MONUMENTO,0,2,0,0,0,0,1,-33.505505,-70.75885,1
-70.758736,-33.384418,596,2018,13124,PUDAHUEL,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,AMERICO VESPUCIO, ,1130,2,2,0,0,0,1,-33.384418,-70.758736,1
-70.758408,-33.446644,597,2018,13124,PUDAHUEL,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,CORONA SUECA,COPACABANA,0,1,1,0,0,0,1,-33.446644,-70.758408,1
-70.758255,-33.510284,598,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,5 DE ABRIL, ,53,2,2,0,0,0,1,-33.510284,-70.758255,1
-70.758102,-33.474094,599,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,ARQTO HUGO BRAVO, ,1177,1,1,0,0,0,1,-33.474094,-70.758102,1
-70.758064,-33.37389,600,2018,13125,QUILICURA,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,LO ECHEVERS, ,531,1,0,0,0,1,0,-33.37389,-70.758064,1
-70.757965,-33.440666,601,2018,13124,PUDAHUEL,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,VICTORIA PONIENTE,LAS PENAS,0,1,1,0,0,0,1,-33.440666,-70.757965,1
-70.757759,-33.506214,602,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,LOS PAJARITOS, ,2310,3,3,0,1,0,0,-33.506214,-70.757759,1
-70.757469,-33.364761,603,2018,13125,QUILICURA,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,LAS VIOLETAS,PSJE 4,0,1,1,0,0,0,1,-33.364761,-70.757469,1
-70.757446,-33.513996,604,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,LOS PAJARITOS,SAN JOSE,0,3,3,0,1,0,1,-33.513996,-70.757446,1
-70.757408,-33.510555,605,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,5 DE ABRIL,LOS PAJARITOS,0,2,2,0,0,0,8,-33.510555,-70.757408,7
-70.757408,-33.505508,606,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,LOS PAJARITOS,TRISTAN VALDES,0,2,0,0,0,0,1,-33.505508,-70.757408,1
-70.757401,-33.509026,607,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,LOS PAJARITOS,CHACABUCO,0,3,3,0,1,0,0,-33.509026,-70.757401,1
-70.757393,-33.49752,608,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,ALHUE,LOS PAJARITOS,0,3,3,0,0,0,1,-33.49752,-70.757393,1
-70.7573833,-33.4985846,609,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,LOS PAJARITOS,ARGENTINA,0,3,3,0,0,0,1,-33.4985846,-70.7573833,1
-70.75737,-33.496109,610,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,LOS PAJARITOS,RAFAEL RIESCO BERNALES,0,3,3,0,0,0,0,-33.496109,-70.75737,1
-70.757233,-33.514114,611,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,LOS PAJARITOS, ,1425,2,2,0,1,0,0,-33.514114,-70.757233,1
-70.756927,-33.431347,612,2018,13124,PUDAHUEL,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,SAN DANIEL,BOROA,0,2,2,0,0,0,1,-33.431347,-70.756927,1
-70.756744,-33.461842,613,2018,13124,PUDAHUEL,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,OCEANIA,MIRA,0,1,1,0,0,1,0,-33.461842,-70.756744,1
-70.756531,-33.46117,614,2018,13124,PUDAHUEL,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,OCEANIA,CIGNUS,0,1,1,0,0,0,1,-33.46117,-70.756531,1
-70.756203,-33.521324,615,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,ALBERTO LLONA, ,640,1,1,0,0,0,1,-33.521324,-70.756203,1
-70.755882,-33.479107,616,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,STA ELENA,AMERICO VESPUCIO,0,2,0,0,0,0,1,-33.479107,-70.755882,1
-70.755623,-33.516388,617,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,ALBERTO LLONA,4 ALAMOS,0,2,0,0,1,0,0,-33.516388,-70.755623,1
-70.755585,-33.51049,618,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,5 DE ABRIL,ALBERTO LLONA,0,3,3,0,1,0,0,-33.51049,-70.755585,1
-70.755119,-33.463413,619,2018,13124,PUDAHUEL,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,ARA,CASIOPEA,0,1,1,0,1,0,0,-33.463413,-70.755119,1
-70.75502,-33.467094,620,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,PARQUE EL GOLF NORTE,CRNEL JOSE MELIAN,0,1,1,0,0,0,1,-33.467094,-70.75502,1
-70.754974,-33.455147,621,2018,13124,PUDAHUEL,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,TRAVESIA,OCEANIA,0,2,2,0,0,0,1,-33.455147,-70.754974,1
-70.754807,-33.449516,622,2018,13124,PUDAHUEL,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,GRAL OSCAR BONILLA,LA ESTRELLA,0,2,2,0,1,0,1,-33.449516,-70.754807,2
-70.754578,-33.360336,623,2018,13125,QUILICURA,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,SAN LUIS,PTO EDEN,0,1,1,0,0,0,1,-33.360336,-70.754578,1
-70.754463,-33.455143,624,2018,13124,PUDAHUEL,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,TRAVESIA,SEPTIMO DE LINEA,0,2,2,0,1,0,0,-33.455143,-70.754463,1
-70.754402,-33.444176,625,2018,13124,PUDAHUEL,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,SAN PABLO, ,8756,2,2,0,1,0,0,-33.444176,-70.754402,1
-70.754227,-33.467884,626,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,LA ESTRELLA,PARQUE EL GOLF,0,1,1,0,0,0,1,-33.467884,-70.754227,1
-70.754181,-33.447334,627,2018,13124,PUDAHUEL,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,CORONA SUECA,LA ESTRELLA,0,1,1,0,0,0,1,-33.447334,-70.754181,1
-70.754089,-33.361904,628,2018,13125,QUILICURA,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,LO MARCOLETA,SAN LUIS,0,2,2,0,0,0,1,-33.361904,-70.754089,1
-70.754044,-33.463608,629,2018,13124,PUDAHUEL,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,CASIOPEA,CAPRICORNIO,0,1,1,0,1,0,0,-33.463608,-70.754044,1
-70.753868,-33.445129,630,2018,13124,PUDAHUEL,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,LA ESTRELLA,LUCERO,0,1,1,0,0,0,1,-33.445129,-70.753868,1
-70.753761,-33.490028,631,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,LOS PAJARITOS, ,3786,3,3,0,0,0,1,-33.490028,-70.753761,1
-70.753571,-33.415302,632,2018,13103,CERRO NAVIA,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,LA ESTRELLA,AGUA FRESCA,0,2,2,0,0,0,0,-33.415302,-70.753571,1
-70.753487,-33.469772,633,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,EL DESCANSO,ANITA LIZANA,0,2,2,0,0,0,1,-33.469772,-70.753487,1
-70.753448,-33.441498,634,2018,13124,PUDAHUEL,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,SAN MARTIN,LA ESTRELLA,0,2,2,0,0,0,1,-33.441498,-70.753448,1
-70.753281,-33.440464,635,2018,13124,PUDAHUEL,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,LA ESTRELLA, ,1008,2,2,0,0,0,1,-33.440464,-70.753281,1
-70.753143,-33.510395,636,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,5 DE ABRIL,PRIMERA TRANSVERSAL,0,2,2,1,0,0,0,-33.510395,-70.753143,1
-70.753128,-33.363903,637,2018,13125,QUILICURA,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,SAN LUIS, ,581,1,1,0,0,0,1,-33.363903,-70.753128,1
-70.753052,-33.479164,638,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,STA ELENA, ,901,1,1,0,0,0,1,-33.479164,-70.753052,1
-70.752998,-33.46283,639,2018,13124,PUDAHUEL,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,ARGOS,LA ESTRELLA,0,2,2,0,0,0,1,-33.46283,-70.752998,1
-70.752975,-33.471375,640,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,AVES DEL PARAISO,CANTO GENERAL,0,1,1,0,1,0,0,-33.471375,-70.752975,1
-70.752869,-33.462234,641,2018,13124,PUDAHUEL,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,LA ESTRELLA, ,244,2,2,0,0,0,1,-33.462234,-70.752869,1
-70.752785,-33.361626,642,2018,13125,QUILICURA,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,PTO BARROSO,LO MARCOLETA,0,1,1,0,0,0,1,-33.361626,-70.752785,1
-70.752396,-33.366871,643,2018,13125,QUILICURA,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,LAS VIOLETAS, ,565,1,1,0,1,0,0,-33.366871,-70.752396,1
-70.752235,-33.502171,644,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,PRIMERA TRANSVERSAL,LOS HEROES,0,1,1,0,0,0,1,-33.502171,-70.752235,1
-70.752174,-33.52486,645,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,CAMINO A MELIPILLA,CERRO SOMBRERO,0,2,2,1,0,0,0,-33.52486,-70.752174,1
-70.752029,-33.436634,646,2018,13124,PUDAHUEL,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,SAN FRANCISCO,LA ESTRELLA,0,2,2,0,0,1,1,-33.436634,-70.752029,3
-70.751854,-33.481354,647,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,AMERICO VESPUCIO, ,399,2,2,0,1,0,1,-33.481354,-70.751854,2
-70.751724,-33.361366,648,2018,13125,QUILICURA,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,LO MARCOLETA,PTO DE VALPARAISO,0,1,1,0,0,0,1,-33.361366,-70.751724,1
-70.751656,-33.534035,649,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,STA MARTA,HENRY FORD,0,2,2,1,1,0,1,-33.534035,-70.751656,1
-70.751457,-33.496284,650,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,RAFAEL RIESCO BERNALES,PRIMERA TRANSVERSAL,0,2,0,0,1,0,0,-33.496284,-70.751457,1
-70.751152,-33.43391,651,2018,13124,PUDAHUEL,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,LA ESPUELA,LA ESTRELLA,0,2,2,0,0,0,1,-33.43391,-70.751152,1
