X,Y,FID,ICOUNT,Año,Cód_Comuna,Comuna,Cód_Región,Región,Calle_Uno,Calle_Dos,Número,Dirección,Fallecidos,Graves,Menos_Grav,Leves,Accidentes
-70.7347509565913,-33.4411827494842,1490,1,2013,13117,LO PRADO,13,REGION METROPOLITANA,RICARDO VIAL,LOS MAITENES,0,RICARDO VIAL / LOS MAITENES,0,0,0,0,1
-70.7338154467254,-33.4417025864052,1491,1,2013,13117,LO PRADO,13,REGION METROPOLITANA,LOS COPIHUES,LOS CRISANTEMOS,0,LOS COPIHUES / LOS CRISANTEMOS,0,0,0,1,1
-70.7332487758103,-33.4375844747437,1492,1,2013,13117,LO PRADO,13,REGION METROPOLITANA,LOS ROBLES, ,1051,LOS ROBLES 1051,0,1,0,0,1
-70.733213798478,-33.4294731429711,1493,1,2013,13103,CERRO NAVIA,13,REGION METROPOLITANA,JOSE JOAQUIN PEREZ,RENE OLIVA,0,JOSE JOAQUIN PEREZ / RENE OLIVA,0,0,0,1,1
-70.7317964354571,-33.4433086757547,1494,1,2013,13117,LO PRADO,13,REGION METROPOLITANA,LOS SAUCES,LAS AMAPOLAS,0,LOS SAUCES / LAS AMAPOLAS,0,0,0,2,1
-70.7277184785249,-33.4352929697947,1495,1,2013,13103,CERRO NAVIA,13,REGION METROPOLITANA,DEL CONSISTORIAL, ,6600,DEL CONSISTORIAL 6600,0,0,0,2,1
-70.7273634729459,-33.4290912323745,1496,1,2013,13103,CERRO NAVIA,13,REGION METROPOLITANA,JOSE JOAQUIN PEREZ,LAS LOMAS,0,JOSE JOAQUIN PEREZ / LAS LOMAS,0,0,0,1,1
-70.7255646337009,-33.4293139386873,1497,1,2013,13103,CERRO NAVIA,13,REGION METROPOLITANA,JOSE JOAQUIN PEREZ,PUELCHE,0,JOSE JOAQUIN PEREZ / PUELCHE,0,0,0,1,1
-70.7242860567561,-33.429624483583,1498,1,2013,13103,CERRO NAVIA,13,REGION METROPOLITANA,JOSE JOAQUIN PEREZ,LOS RETAMOS,0,JOSE JOAQUIN PEREZ / LOS RETAMOS,0,0,0,2,1
-70.7236447520037,-33.4297357477066,1499,2,2013,13103,CERRO NAVIA,13,REGION METROPOLITANA,JOSE JOAQUIN PEREZ,AMBROSIO O`HIGGINS,0,JOSE JOAQUIN PEREZ / AMBROSIO O`HIGGINS,0,0,0,2,2
-70.7230375999053,-33.4410786997222,1500,1,2013,13117,LO PRADO,13,REGION METROPOLITANA,NEPTUNO, ,934,NEPTUNO 934,0,1,0,0,1
-70.7225071527828,-33.4389914802725,1501,1,2013,13117,LO PRADO,13,REGION METROPOLITANA,NEPTUNO, ,938,NEPTUNO 938,0,1,1,0,1
-70.7224184400589,-33.444147246798,1502,1,2013,13117,LO PRADO,13,REGION METROPOLITANA,SAN PABLO,SAN JORGE,0,SAN PABLO / SAN JORGE,0,0,0,1,1
-70.753657747507,-33.4221398677606,1503,1,2013,13103,CERRO NAVIA,13,REGION METROPOLITANA,MAPOCHO NORTE,RIO LOA,0,MAPOCHO NORTE / RIO LOA,0,0,0,1,1
-70.7499993575843,-33.4217922519109,1504,1,2013,13103,CERRO NAVIA,13,REGION METROPOLITANA,MAPOCHO NORTE, ,7951,MAPOCHO NORTE 7951,0,0,0,1,1
-70.7479874509601,-33.4176747059229,1505,1,2013,13103,CERRO NAVIA,13,REGION METROPOLITANA,SAO PAULO, ,7918,SAO PAULO 7918,0,0,0,1,1
-70.7469998253816,-33.4132796966007,1506,1,2013,13103,CERRO NAVIA,13,REGION METROPOLITANA,COSTANERA SUR,ROLANDO PETERSEN,0,COSTANERA SUR / ROLANDO PETERSEN,0,0,0,1,1
-70.7435377637568,-33.4223077909717,1507,1,2013,13103,CERRO NAVIA,13,REGION METROPOLITANA,MAPOCHO SUR,GALVARINO,0,MAPOCHO SUR / GALVARINO,0,0,0,0,1
-70.7426330700601,-33.4131288928841,1508,1,2013,13103,CERRO NAVIA,13,REGION METROPOLITANA,HUELEN,COSTANERA SUR,0,HUELEN / COSTANERA SUR,0,0,0,1,1
-70.7422781400241,-33.4149765743094,1509,2,2013,13103,CERRO NAVIA,13,REGION METROPOLITANA,HUELEN,LA CAPILLA,0,HUELEN / LA CAPILLA,0,0,0,2,2
-70.7412546243014,-33.4130952429511,1510,1,2013,13103,CERRO NAVIA,13,REGION METROPOLITANA,COSTANERA SUR,ISOKA,0,COSTANERA SUR / ISOKA,0,0,0,1,1
-70.7402464797912,-33.4228269264215,1511,1,2013,13103,CERRO NAVIA,13,REGION METROPOLITANA,MAPOCHO,HUELEN,0,MAPOCHO / HUELEN,0,0,0,1,1
-70.7364024203354,-33.4231219894882,1512,2,2013,13103,CERRO NAVIA,13,REGION METROPOLITANA,MAPOCHO,GALO GONZALEZ,0,MAPOCHO / GALO GONZALEZ,0,1,0,1,2
-70.7363183067444,-33.4064818183812,1513,1,2013,13128,RENCA,13,REGION METROPOLITANA,ESMERALDA,JOSE MIGUEL INFANTE,0,ESMERALDA / JOSE MIGUEL INFANTE,0,0,0,2,1
-70.7322025468101,-33.4145910547334,1514,1,2013,13103,CERRO NAVIA,13,REGION METROPOLITANA,LAS TORRES, ,1408,LAS TORRES 1408,0,0,0,1,1
-70.7277866714177,-33.4064989450702,1515,4,2013,13128,RENCA,13,REGION METROPOLITANA,CONDELL,JOSE MIGUEL INFANTE,0,CONDELL / JOSE MIGUEL INFANTE,0,1,0,3,4
-70.7271656418808,-33.4191285049765,1516,1,2013,13103,CERRO NAVIA,13,REGION METROPOLITANA,3 DE JULIO,5 DE FEBRERO,0,3 DE JULIO / 5 DE FEBRERO,0,0,0,1,1
-70.7260771654288,-33.4078847248002,1517,1,2013,13128,RENCA,13,REGION METROPOLITANA,CONDELL,BUCALEMU,0,CONDELL / BUCALEMU,0,0,0,1,1
-70.7243582669204,-33.4238791080344,1518,1,2013,13103,CERRO NAVIA,13,REGION METROPOLITANA,MAPOCHO,RAMON ANGEL JARA,0,MAPOCHO / RAMON ANGEL JARA,0,0,0,1,1
-70.7226730057546,-33.4066366339734,1519,1,2013,13128,RENCA,13,REGION METROPOLITANA,JOSE MIGUEL INFANTE,CALLE 5,0,JOSE MIGUEL INFANTE / CALLE 5,0,0,0,1,1
-70.7217767953628,-33.4240319990775,1520,1,2013,13103,CERRO NAVIA,13,REGION METROPOLITANA,MAPOCHO,LO LOPEZ,0,MAPOCHO / LO LOPEZ,0,0,0,1,1
-70.7210071888306,-33.412495687426,1521,1,2013,13126,QUINTA NORMAL,13,REGION METROPOLITANA,CARRASCAL, ,6719,CARRASCAL 6719,1,0,0,1,1
-70.7200569129961,-33.4721479570625,1522,1,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,LUIS INFANTE CERDA,5 DE ABRIL,0,LUIS INFANTE CERDA / 5 DE ABRIL,0,0,0,1,1
-70.718987199999,-33.4665105999841,1523,1,2013,13101,SANTIAGO,13,REGION METROPOLITANA,PRESIDENTE BALMACEDA, ,470,PRESIDENTE BALMACEDA 470,0,0,0,1,1
-70.7182542390419,-33.4661334791767,1524,1,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,LAS PARCELAS, ,3058,LAS PARCELAS 3058,0,0,0,1,1
