X,Y,FID,Intersecci,Comuna,Ciudad,Pais,Año,Clase,Cód_Comun,Región,Cód_Tipo,Tipo_Accid,Cód_Tip_1,Tipo__CONA,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Cód_Cal_1,Calle_Uno,Calle_Dos,Número,PiSANTAsde,PiSANTAs_1,Cód_Calza,Calzada,Tipo_Calza,Fallecidos,Graves,Menos_Grav,Leves,Accidentes
-70.6705434135403,-33.3575956314089,1949,PEDRO FONTOVA @ CACIQUES CHILENOS SUR,HUECHURABA, , ,2017,1,13107,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131070331,131070026,PEDRO FONTOVA,CACIQUES CHILENOS SUR, ,2,2,2,BIDIRECCIONAL,ASFALTO,0,0,0,1,1
-70.6704263219037,-33.4485903888674,1950,LIBERTADOR BERNARDO O`HIGGINS @ ESPANA,SANTIAGO, , ,2017,1,13101,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131010342,131010213,LIBERTADOR BERNARDO O`HIGGINS,ESPANA, ,4,4,3,BIDIRECCIONAL CON BANDEJON,CONCRETO,0,0,0,2,1
-70.6703571241372,-33.4954606503566,1951,LAZO @ CLUB HIPICO,PEDRO AGUIRRE CERDA, , ,2017,1,13121,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131210312,131210156,LAZO,CLUB HIPICO, ,2, ,1,UNIDIRECCIONAL,ASFALTO,0,0,0,0,1
-70.6700340486275,-33.4504823344334,1952,SALVADOR SANFUENTES @ ESPANA,SANTIAGO, , ,2017,1,13101,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,26,OTROS NO CONSIDERADOS,131010563,131010213,SALVADOR SANFUENTES,ESPANA, ,2, ,1,UNIDIRECCIONAL,CONCRETO,0,0,0,2,2
-70.6698076,-33.5473067,1953,9607 GRAN AVENIDA JOSE MIGUEL CARRERA,EL BOSQUE, , ,2017,1,13105,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131050243,0,GRAN AVENIDA JOSE MIGUEL CARRERA, ,9607,3,3,3,BIDIRECCIONAL CON BANDEJON,CONCRETO,0,0,0,1,1
-70.6697720646008,-33.5576382025908,1954,PADRE HURTADO @ JORGE LUCO,EL BOSQUE, , ,2017,1,13105,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131050497,131050266,PADRE HURTADO,JORGE LUCO, ,2,2,2,BIDIRECCIONAL,CONCRETO,0,0,0,1,1
-70.669737,-33.5479323,1955,9632 GRAN AVENIDA JOSE MIGUEL CARRERA,EL BOSQUE, , ,2017,1,13105,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131050243,0,GRAN AVENIDA JOSE MIGUEL CARRERA, ,9632,3,3,3,BIDIRECCIONAL CON BANDEJON,CONCRETO,0,1,0,0,1
-70.6697015,-33.3465054,1956,EL CARMEN / PEDRO FONTOVA,HUECHURABA,SANTIAGO,CHILE,2017,1,13107,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131070331,131070078,PEDRO FONTOVA,EL CARMEN, ,2,2,2,BIDIRECCIONAL,ASFALTO,0,0,0,1,1
-70.6696422,-33.4799219,1957,2657 CLOTARIO BLEST,PEDRO AGUIRRE CERDA, , ,2017,1,13121,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131210154,0,CLOTARIO BLEST, ,2657,1,1,2,BIDIRECCIONAL,ASFALTO,0,0,0,1,1
-70.6696407323313,-33.4200694965278,1958,SOBERANIA @ SALOMON SACK,INDEPENDENCIA, , ,2017,1,13108,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131080323,131080304,SOBERANIA,SALOMON SACK, ,2,2,2,BIDIRECCIONAL,CONCRETO,0,0,0,2,2
-70.669470430333,-33.5839039987975,1959,LO BLANCO @ MAR BALTICO,EL BOSQUE, , ,2017,1,13105,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131050386,131050581,LO BLANCO,MAR BALTICO, , , ,3,BIDIRECCIONAL CON BANDEJON,CONCRETO,0,0,1,0,1
-70.669409,-33.4929258,1960,2250 LA MARINA,PEDRO AGUIRRE CERDA, , ,2017,1,13121,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131210280,0,LA MARINA, ,2250,2,2,3,BIDIRECCIONAL CON BANDEJON,ASFALTO,0,1,0,0,1
-70.6692468,-33.5465177,1961,9559 GRAN AVENIDA JOSE MIGUEL CARRERA,EL BOSQUE, , ,2017,1,13105,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131050243,0,GRAN AVENIDA JOSE MIGUEL CARRERA, ,9559,3,3,3,BIDIRECCIONAL CON BANDEJON,ASFALTO,0,1,0,0,1
-70.6690766097381,-33.4787041340856,1962,CLOTARIO BLEST @ ALCALDE CARLOS VALDOVINOS,PEDRO AGUIRRE CERDA, , ,2017,1,13121,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131210154,131210055,CLOTARIO BLEST,ALCALDE CARLOS VALDOVINOS, ,2, ,1,UNIDIRECCIONAL,ASFALTO,0,0,0,1,1
