X,Y,FID,COD_REG,REGION,CUT,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,DIR_GEOCOD,LAT,LNG,VAL_COM,TIPO,Año,Idaccident,Fecha,Tipo_Accid,Tipo__CONA,Zona,Causa__CON,Causa,Fallecidos,Graves,Menos_Grav,Leves,Hora
-73.1393969,-36.7116586,3872,8,REGION BIO BIO,8110,TALCAHUANO,SAN VICENTE, ,1396,"San Vicente 1396, Talcahuano, Bío Bío, Chile",-36.7116586,-73.1393969,1,RANGE_INTERPOLATED,2020,1281211,2020/05/09 00:00:00+00,COLISION LATERAL,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,ADELANTAMIENTO SIN EL ESPACIO O TIEMPO SUFICIENTE,0,0,0,0,20:00:00
-72.9894777,-36.7366946,3873,8,REGION BIO BIO,8107,PENCO,LAS HERAS,ALCAZAR,0,"Las Heras & Alcázar, Penco, Bío Bío, Chile",-36.7366946,-72.9894777,1,GEOMETRIC_CENTER,2020,1281181,2020/05/12 00:00:00+00,COLISION LATERAL,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,21:35:00
-72.9978318,-36.7383703,3874,8,REGION BIO BIO,8107,PENCO,FREIRE,MEMBRILLAR,0,"Membrillar & Freire, Penco, Bío Bío, Chile",-36.7383703,-72.9978318,1,GEOMETRIC_CENTER,2020,1281252,2020/05/13 00:00:00+00,COLISION LATERAL,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,14:10:00
-72.3420894,-37.4535359,3875,8,REGION BIO BIO,8301,LOS ANGELES,SOR VICENTA, ,1818,"Av. Sor Vicenta 1818, Los Angeles, Los Ángeles, Bío Bío, Chile",-37.4535359,-72.3420894,1,RANGE_INTERPOLATED,2020,1284828,2020/06/09 00:00:00+00,CHOQUE POSTERIOR/FRENTE,CHOQUE,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,18:25:00
-73.4396899,-37.2294379,3876,8,REGION BIO BIO,8202,ARAUCO,LAS MALVINAS,TUBUL,0,"Las Malvinas, Tubul, Arauco, Bío Bío, Chile",-37.2294379,-73.4396899,1,GEOMETRIC_CENTER,2020,1281331,2020/05/02 00:00:00+00,CHOQUE FRONTAL,CHOQUE,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,02:30:00
-73.0556728,-36.8248069,3877,8,REGION BIO BIO,8101,CONCEPCION,LINCOYAN,LOS CARRERA,0,"Av. los Carrera & Lincoyán, Concepción, Bío Bío, Chile",-36.8248069,-73.0556728,1,GEOMETRIC_CENTER,2020,1281421,2020/05/17 00:00:00+00,COLISION LATERAL,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,1,0,2,13:40:00
-73.0436675,-36.821115,3878,8,REGION BIO BIO,8101,CONCEPCION,MAIPU,PAICAVI,0,"Maipú & Paicaví, Concepción, Bío Bío, Chile",-36.821115,-73.0436675,1,GEOMETRIC_CENTER,2020,1281454,2020/05/18 00:00:00+00,COLISION PERPENDICULAR,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,2,15:00:00
-73.1023522,-36.7941369,3879,8,REGION BIO BIO,8112,HUALPEN,BREMEN,FRANKFORT,0,"Frankfort & Bremen, Hualpén, Bío Bío, Chile",-36.7941369,-73.1023522,1,GEOMETRIC_CENTER,2020,1281460,2020/05/13 00:00:00+00,COLISION,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR VEHICULO EN RETROCESO,0,1,0,0,18:30:00
-73.0866314,-36.777716,3880,8,REGION BIO BIO,8110,TALCAHUANO,CRISTOBAL COLON, ,2194,"Av. Cristóbal Colón # 6900, Talcahuano, Bío Bío, Chile",-36.777716,-73.0866314,1,ROOFTOP,2020,1281489,2020/05/12 00:00:00+00,CHOQUE FRENTE/POSTERIOR,CHOQUE,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,0,0,0,0,15:40:00
-73.036506,-36.823738,3881,8,REGION BIO BIO,8101,CONCEPCION,ROOSEVELT,SAN MARTIN,0,"San Martín & Roosevelt, Concepción, Bío Bío, Chile",-36.823738,-73.036506,1,GEOMETRIC_CENTER,2020,1281569,2020/05/20 00:00:00+00,ATROPELLO,ATROPELLO,URBANA,IMPRUDENCIA DEL PEATON,PEATON CRUZA CALZADA FUERA PASO PEATONES,0,1,0,0,10:10:00
