X,Y,FID,COD_REG,REGION,CUT,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,DIR_GEOCOD,LAT,LNG,VAL_COM,TIPO,Año,Idaccident,Fecha,Tipo_Accid,Tipo__CONA,Zona,Causa__CON,Causa,Fallecidos,Graves,Menos_Grav,Leves,Hora
-71.6939781,-33.4074581,566,5,REGION VALPARAISO,5604,EL QUISCO,ISIDORO DUBOURNAIS,HUALLILEMU,0,"Av. Huallilemu & Av. Isidoro Dubournais, El Quisco, Valparaíso, Chile",-33.4074581,-71.6939781,1,GEOMETRIC_CENTER,2020,1294551,2020/08/14 00:00:00+00,CHOQUE POSTERIOR,CHOQUE,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,2,08:50:00
-71.6928804,-33.4019823,567,5,REGION VALPARAISO,5604,EL QUISCO,EL ALBA,ISIDORO DUBOURNAIS,0,"Lobos Tranquilos 020, El Quisco, Valparaíso, Chile",-33.4019823,-71.6928804,1,ROOFTOP,2020,1294560,2020/08/15 00:00:00+00,COLISION POR ALCANCE,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,12:00:00
-71.2036673,-32.7352894,568,5,REGION VALPARAISO,5506,NOGALES,ALDUNATE,JOSE DEL CARMEN ODOY,0,"Aldunate & José del Carmen Godoy, Nogales, Valparaíso, Chile",-32.7352894,-71.2036673,1,GEOMETRIC_CENTER,2020,1294580,2020/08/17 00:00:00+00,COLISION LATERAL,COLISION,URBANA,DESOBEDIENCIA A SEÑALIZACION,SEÑALIZACION DESOBEDECER SEÑAL CEDA EL PASO,0,0,0,0,12:30:00
-70.618024,-32.8401198,569,5,REGION VALPARAISO,5301,LOS ANDES,JUAN CABELLO CELIS, ,2040,"Regidor Juan Cabellos Celis 2040, Los Andes, Valparaíso, Chile",-32.8401198,-70.618024,1,RANGE_INTERPOLATED,2020,1294583,2020/08/09 00:00:00+00,CHOQUE,CHOQUE,URBANA,ALCOHOL EN CONDUCTOR,CONDUCCION EN ESTADO DE EBRIEDAD,0,0,0,0,00:40:00
-71.2605812,-32.891631,570,5,REGION VALPARAISO,5501,QUILLOTA,VALPARAISO, ,2129,"Valparaíso 2129, Quillota, Valparaíso, Chile",-32.891631,-71.2605812,1,RANGE_INTERPOLATED,2020,1295144,2020/08/16 00:00:00+00,CHOQUE,CHOQUE,URBANA,ALCOHOL EN CONDUCTOR,CONDUCCION EN ESTADO DE EBRIEDAD,0,0,0,0,18:00:00
-71.6045745,-33.5482466,571,5,REGION VALPARAISO,5603,CARTAGENA,CAMINO VECINAL, ,16,"Cartagena, Valparaíso, Chile",-33.5482466,-71.6045745,1,APPROXIMATE,2020,1294691,2020/08/15 00:00:00+00,VOLCADURA,VOLCADURA,URBANA,ALCOHOL EN CONDUCTOR,CONDUCCION EN ESTADO DE EBRIEDAD,0,0,0,0,03:20:00
-71.5716056,-33.1120194,572,5,REGION VALPARAISO,5101,VALPARAISO,CALLE CUARTA,CENTRAL,0,"Cuarta & Central, Placilla, Valparaíso, Chile",-33.1120194,-71.5716056,1,GEOMETRIC_CENTER,2020,1294697,2020/08/15 00:00:00+00,OTRO TIPO,OTRO TIPO,URBANA,ALCOHOL EN CONDUCTOR,CONDUCCION EN ESTADO DE EBRIEDAD,0,0,0,0,01:30:00
-71.6529052,-33.4605996,573,5,REGION VALPARAISO,5605,EL TABO,LINDERO AZUL,G-98-F,0,"G-98-F & Lindero Azul, El Tabo, Valparaíso, Chile",-33.4605996,-71.6529052,1,GEOMETRIC_CENTER,2020,1294700,2020/08/15 00:00:00+00,COLISION,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,10:00:00
-71.4054061,-33.0430825,574,5,REGION VALPARAISO,5801,QUILPUE,GOMEZ CARREÑO,AVIADOR ACEVEDO,0,"Almirante Gomez Carreño & Aviador Acevedo, Quilpué, Valparaíso, Chile",-33.0430825,-71.4054061,1,GEOMETRIC_CENTER,2020,1294740,2020/08/18 00:00:00+00,CHOQUE FRONTAL,CHOQUE,URBANA,CAUSAS NO DETERMINADAS,CAUSAS NO DETERMINADAS,0,0,0,0,12:50:00
-70.7346641,-32.741183,575,5,REGION VALPARAISO,5701,SAN FELIPE,PEDRO DE VALDIVIA,DIEGO DE ALMAGRO,0,"Pedro de Valdivia & Diego de Almagro, San Felipe, Valparaíso, Chile",-32.741183,-70.7346641,1,GEOMETRIC_CENTER,2020,1294755,2020/08/14 00:00:00+00,COLISION,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,11:20:00
