X,Y,FID,COD_REG,REGION,CUT,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,DIR_GEOCOD,LAT,LNG,VAL_COM,TIPO,Año,Idaccident,Fecha,Tipo_Accid,Tipo__CONA,Zona,Causa__CON,Causa,Fallecidos,Graves,Menos_Grav,Leves,Hora
-72.0991894,-36.6110854,295,16,REGION ÑUBLE,16101,CHILLAN,SARGENTO ALDEA,MAIPON,0,"Maipón & Sargento Aldea, Chillan, Chillán, Ñuble, Chile",-36.6110854,-72.0991894,1,GEOMETRIC_CENTER,2020,1266155,2020/02/24 00:00:00+00,COLISION LATERAL,COLISION,URBANA,DESOBEDIENCIA A SEÑALIZACION,SEÑALIZACION DESOBEDECER LUZ ROJA DE SEMAFORO,0,0,0,2,17:24:00
-72.0986135,-36.623461,296,16,REGION ÑUBLE,16101,CHILLAN,ALONSO DE ERCILLA,LAS TORRES,0,"Alonso de Ercilla 983, Chillan, Chillán, Bío Bío, Chile",-36.623461,-72.0986135,1,ROOFTOP,2020,1266172,2020/02/24 00:00:00+00,ATROPELLO,ATROPELLO,URBANA,CAUSAS NO DETERMINADAS,CAUSAS NO DETERMINADAS,0,0,0,1,19:00:00
-71.8341797,-36.6281927,297,16,REGION ÑUBLE,16302,COIHUECO,CAMINO MONTEBELLO, ,1,"Coihueco, Ñuble, Chile",-36.6281927,-71.8341797,1,APPROXIMATE,2020,1266471,2020/02/17 00:00:00+00,COLISION POR ALCANCE,COLISION,RURAL,CAUSAS NO DETERMINADAS,CAUSAS NO DETERMINADAS,0,0,0,0,13:15:00
-72.0979181,-36.6237432,298,16,REGION ÑUBLE,16101,CHILLAN,ALONSO DE ERCILLA,BARROS ARANA,0,"Barros Arana & Alonso de Ercilla, Chillan, Chillán, Ñuble, Chile",-36.6237432,-72.0979181,1,GEOMETRIC_CENTER,2020,1266583,2020/02/26 00:00:00+00,COLISION LATERAL,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,1,0,0,0,16:30:00
-72.0283744,-37.1213139,299,16,REGION ÑUBLE,16109,YUNGAY,ANGAMOS, ,1086,"Angamos 1086, Yungay, Bío Bío, Chile",-37.1213139,-72.0283744,1,RANGE_INTERPOLATED,2020,1266865,2020/02/24 00:00:00+00,COLISION POR ALCANCE,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,18:30:00
-71.9640974,-36.4262891,300,16,REGION ÑUBLE,16301,SAN CARLOS,RAMON FREIRE,VALENTIN TRUJILLO,0,"Ramón Freire, San Carlos, Ñuble, Chile",-36.4262891,-71.9640974,1,GEOMETRIC_CENTER,2020,1266932,2020/02/15 00:00:00+00,ATROPELLO,ATROPELLO,URBANA,IMPRUDENCIA DEL PEATON,PEATON CRUZA CALZADA FORMA SORPRESIVA O DESCUIDADA,0,0,1,0,20:30:00
-71.9689423,-36.4259693,301,16,REGION ÑUBLE,16301,SAN CARLOS,FREIRE,VALENTIN TRUJILLO,0,"San Carlos, Ñuble, Chile",-36.4259693,-71.9689423,1,APPROXIMATE,2020,1266933,2020/02/15 00:00:00+00,VOLCADURA,VOLCADURA,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,1,20:30:00
-71.951298,-36.4253808,302,16,REGION ÑUBLE,16301,SAN CARLOS,VICUÑA MACKENNA, ,882,"Benjamin Vicuña Mackenna 882, San Carlos, Región del Bío Bío, Chile",-36.4253808,-71.951298,1,ROOFTOP,2020,1266950,2020/02/23 00:00:00+00,COLISION POR ALCANCE,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,1,09:30:00
-72.0534804,-36.5185595,303,16,REGION ÑUBLE,16301,SAN CARLOS,MANUEL CASTILLO VELASCO,CLAUDIO ARRAU,0,"N-349 591, San Carlos, Región del Bío Bío, Chile",-36.5185595,-72.0534804,1,ROOFTOP,2020,1266952,2020/02/18 00:00:00+00,COLISION FRONTAL,COLISION,RURAL,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,08:20:00
-71.8315584,-36.6310862,304,16,REGION ÑUBLE,16302,COIHUECO,SARGENTO ALDEA,LUIS HERMOSILLA,0,"Luis Hermosilla & Sargento Aldea, Coihueco, Ñuble, Chile",-36.6310862,-71.8315584,1,GEOMETRIC_CENTER,2020,1267295,2020/02/29 00:00:00+00,ATROPELLO,ATROPELLO,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,1,0,17:10:00
-72.0942282,-36.6104457,305,16,REGION ÑUBLE,16101,CHILLAN,ARGENTINA, ,660,"Argentina 660, Chillan, Chillán, Bío Bío, Chile",-36.6104457,-72.0942282,1,RANGE_INTERPOLATED,2020,1267354,2020/03/01 00:00:00+00,CHOQUE FRONTAL,CHOQUE,URBANA,ALCOHOL EN CONDUCTOR,CONDUCCION EN ESTADO DE EBRIEDAD,0,1,0,0,01:00:00
-71.8341961,-36.6281758,306,16,REGION ÑUBLE,16302,COIHUECO,SECTOR LAS TIJERAS, ,2,"Coihueco, Ñuble, Chile",-36.6281758,-71.8341961,1,APPROXIMATE,2020,1267443,2020/03/01 00:00:00+00,CHOQUE FRONTAL,CHOQUE,URBANA,ALCOHOL EN CONDUCTOR,CONDUCCION EN ESTADO DE EBRIEDAD,0,0,0,0,06:30:00
-72.2439878,-36.5768899,307,16,REGION ÑUBLE,16305,SAN NICOLAS,BAJO EL ALA, ,1,"El Ala, San Nicolás, Ñuble, Chile",-36.5768899,-72.2439878,1,APPROXIMATE,2020,1267613,2020/02/28 00:00:00+00,ATROPELLO,ATROPELLO,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,1,19:30:00
