X,Y,FID,COD_REG,REGION,CUT,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,DIR_GEOCOD,LAT,LNG,VAL_COM,TIPO,Año,Idaccident,Fecha,Tipo_Accid,Tipo__CONA,Zona,Causa__CON,Causa,Fallecidos,Graves,Menos_Grav,Leves,Hora
-70.1274308,-20.2647319,954,1,REGION TARAPACA,1101,IQUIQUE,FRANCISCO BILBAO,CERRO COLORADO,0,"Avenida Francisco Bilbao & Cerro Colorado, Iquique, Tarapacá, Chile",-20.2647319,-70.1274308,1,GEOMETRIC_CENTER,2020,1319756,2020/12/19 00:00:00+00,VOLCADURA,VOLCADURA,URBANA,OTRAS CAUSAS,OTRAS CAUSAS,0,0,0,1,11:25:00
-70.1459692,-20.2300445,955,1,REGION TARAPACA,1101,IQUIQUE,ARTURO PRAT, ,2250,"Av. Arturo Prat Chacón 2250, Iquique, Tarapacá, Chile",-20.2300445,-70.1459692,1,ROOFTOP,2020,1319887,2020/12/21 00:00:00+00,COLISION LATERAL,COLISION,URBANA,OTRAS CAUSAS,OTRAS CAUSAS,0,0,0,1,16:50:00
-70.0987729,-20.2641919,956,1,REGION TARAPACA,1107,ALTO HOSPICIO,LAS PARCELAS,LOS ALAMOS,0,"Plaza Villa Frei - Av. los Alamos 2959-2967, Alto Hospicio, Tarapacá, Chile",-20.2641919,-70.0987729,1,ROOFTOP,2020,1320013,2020/12/21 00:00:00+00,COLISION PERPENDICULAR,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,NO RESPETAR DERECHO PREFERENTE DE PASO A VEHICULO,0,0,0,0,19:10:00
-70.1393996,-20.2199419,957,1,REGION TARAPACA,1101,IQUIQUE,HEROES DE LA CONCEPCION,MANUEL BULNES,0,"Manuel Bulnes & Avenida Heroes de la Concepción, Iquique, Tarapacá, Chile",-20.2199419,-70.1393996,1,GEOMETRIC_CENTER,2020,1320125,2020/12/22 00:00:00+00,CHOQUE FRENTE/LADO,CHOQUE,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,12:54:00
-70.1436951,-20.2188278,958,1,REGION TARAPACA,1101,IQUIQUE,ARTURO FERNANDEZ VIAL,OHIGGINS,0,"Bernardo OHiggins, Iquique, Tarapacá, Chile",-20.2188278,-70.1436951,1,GEOMETRIC_CENTER,2020,1320460,2020/12/22 00:00:00+00,CHOQUE POSTERIOR/FRENTE,CHOQUE,URBANA,CAUSAS NO DETERMINADAS,CAUSAS NO DETERMINADAS,0,0,0,1,16:50:00
-70.1048568,-20.2593187,959,1,REGION TARAPACA,1107,ALTO HOSPICIO,LAS AMERICAS,CALLE 5,0,"C. Cinco, Alto Hospicio, Tarapacá, Chile",-20.2593187,-70.1048568,1,GEOMETRIC_CENTER,2020,1320466,2020/12/23 00:00:00+00,COLISION,COLISION,URBANA,CAUSAS NO DETERMINADAS,CAUSAS NO DETERMINADAS,0,0,0,3,21:50:00
-70.1389206,-20.2049769,960,1,REGION TARAPACA,1101,IQUIQUE,SALITRERA VICTORIA,MAPOCHO,0,"Oficina Salitrera Victoria / Mall Zofri, Iquique, Tarapacá, Chile",-20.2049769,-70.1389206,1,GEOMETRIC_CENTER,2020,1320469,2020/12/18 00:00:00+00,CHOQUE FRENTE/LADO,CHOQUE,URBANA,CAUSAS NO DETERMINADAS,CAUSAS NO DETERMINADAS,0,0,0,0,13:00:00
-70.1505932,-20.2232899,961,1,REGION TARAPACA,1101,IQUIQUE,MANUEL RODRIGUEZ,OBPO LABBE,0,"Manuel Rodríguez & Obispo Labbé, Iquique, Tarapacá, Chile",-20.2232899,-70.1505932,1,GEOMETRIC_CENTER,2020,1320505,2020/12/23 00:00:00+00,COLISION PERPENDICULAR,COLISION,URBANA,DESOBEDIENCIA A SEÑALIZACION,SEÑALIZACION DESOBEDECER SEÑAL PARE,0,0,0,1,11:40:00
-70.1471204,-20.2127018,962,1,REGION TARAPACA,1101,IQUIQUE,SAN MARTIN,BARROS ARANA,0,"San Martín & Barros Arana, Iquique, Tarapacá, Chile",-20.2127018,-70.1471204,1,GEOMETRIC_CENTER,2020,1320570,2020/12/24 00:00:00+00,CHOQUE POSTERIOR/FRENTE,CHOQUE,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,13:03:00
-70.0987729,-20.2641919,963,1,REGION TARAPACA,1107,ALTO HOSPICIO,LAS PARCELAS,LOS ALAMOS,0,"Plaza Villa Frei - Av. los Alamos 2959-2967, Alto Hospicio, Tarapacá, Chile",-20.2641919,-70.0987729,1,ROOFTOP,2020,1320626,2020/12/24 00:00:00+00,ATROPELLO,ATROPELLO,URBANA,IMPRUDENCIA DEL CONDUCTOR,NO RESPETAR DERECHO PREFERENTE DE PASO A PEATON,0,0,0,1,13:00:00
